,REF,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Spearman,Pearson
0,p03.ply,AdaBoostRegressor,1.1834246371826058,0.7972675062718568,0.3741756386891492,0.23304438591003418,0.8919840085433876,0.9019911659592115
1,p03.ply,BaggingRegressor,1.2201237340244284,0.756705346604579,0.409902068506034,0.17968487739562988,0.8875517739359866,0.9003735181725404
2,p03.ply,BayesianRidge,1.221293348257853,0.7554126150834257,0.41098962076401135,0.011817693710327148,0.8902255639097743,0.9054925508661693
3,p03.ply,DecisionTreeRegressor,1.516291419785445,0.4293621149739818,0.6277607060876695,0.04061698913574219,0.6885400860463429,0.7753911040253894
4,p03.ply,DummyRegressor,2.111742073351166,-0.22876755475655197,0.9211888976194302,0.008347272872924805,,
5,p03.ply,ElasticNet,1.5042315331998053,0.44269146330547837,0.6203855520899046,0.009817361831665039,0.8676691729323308,0.8968113440145583
6,p03.ply,ElasticNetCV,1.1824747731317966,0.7983173560122248,0.37320554732404987,0.1743175983428955,0.8812030075187969,0.9037065617786317
7,p03.ply,ExtraTreeRegressor,1.1368994166751896,0.8486901184116327,0.3232566538663364,0.039524078369140625,0.943525166394911,0.9580702477430034
8,p03.ply,ExtraTreesRegressor,1.1550547934467086,0.8286236493483746,0.3440244210670919,0.5574502944946289,0.9203007518796992,0.9259426063093129
9,p03.ply,GammaRegressor,1.2134138326517299,0.7641215533849302,0.40360631885215337,0.3568146228790283,0.8721804511278194,0.8789248787259679
10,p03.ply,GaussianProcessRegressor,5.443286017888171,-3.91100033556061,1.8416148543800592,0.07987618446350098,0.8706766917293233,0.8409176039873947
11,p03.ply,GradientBoostingRegressor,1.209212027720938,0.7687656535715949,0.39961335944515136,0.8122923374176025,0.9131252996256677,0.911407402794805
12,p03.ply,HistGradientBoostingRegressor,1.2700000731433065,0.7015788665258191,0.45397152735529056,0.24204182624816895,0.9142857142857143,0.8994152520334563
13,p03.ply,HuberRegressor,1.2529403995524884,0.7204342952314602,0.43939567155343534,0.050382137298583984,0.8766917293233082,0.8876043943418018
14,p03.ply,KNeighborsRegressor,1.150811828218175,0.8333132424957015,0.33928477891497455,0.033896684646606445,0.9417074753964875,0.9345950372579025
15,p03.ply,KernelRidge,17.217913502647182,-16.925062292399517,3.518391511112924,0.0251922607421875,0.8902255639097743,0.9063742808095911
16,p03.ply,LGBMRegressor,1.2834884034417517,0.6866707119854323,0.4651728117552808,0.0947120189666748,0.9127819548872179,0.8942822862246416
17,p03.ply,Lars,14880.16831926367,-16444.396563396687,106.57025443359657,0.03217816352844238,0.2300751879699248,0.22285768294787356
18,p03.ply,LarsCV,1.1864508052900529,0.7939227941530995,0.3772496156736677,0.05552244186401367,0.8812030075187969,0.8947200980522501
19,p03.ply,Lasso,2.111742073351166,-0.22876755475655197,0.9211888976194302,0.009442329406738281,,
20,p03.ply,LassoCV,1.1793308402180362,0.8017922292326969,0.3699765224110914,0.23522424697875977,0.8812030075187969,0.9056428917363165
21,p03.ply,LassoLars,2.111742073351166,-0.22876755475655197,0.9211888976194302,0.009163379669189453,,
22,p03.ply,LassoLarsCV,1.1796651466314478,0.8014227326705051,0.3703212147531897,0.09182310104370117,0.8812030075187969,0.9056354966388424
23,p03.ply,LassoLarsIC,1.250807959421321,0.7227912027448555,0.4375395659829169,0.02015542984008789,0.8917293233082706,0.9073540599394186
24,p03.ply,LinearRegression,1.2508499280056018,0.7227448164148613,0.4375761719743588,0.017711400985717773,0.8917293233082706,0.9073637679606583
25,p03.ply,LinearSVR,1.2108008780693427,0.767009555818095,0.40112791123738634,0.07254290580749512,0.8887218045112781,0.9062949142586977
26,p03.ply,MLPRegressor,1.221761886206932,0.7548947573502331,0.4114244788734483,0.6190931797027588,0.9082706766917292,0.921265065331578
27,p03.ply,NuSVR,1.1489234993031572,0.835400342875458,0.33715397979883666,0.06833171844482422,0.9203007518796992,0.9355832343587843
28,p03.ply,OrthogonalMatchingPursuit,1.6666478759594083,0.26317866341328544,0.7133372844324276,0.009367942810058594,0.7172932330827068,0.6567893991172987
29,p03.ply,OrthogonalMatchingPursuitCV,1.2845101748255314,0.6855413857191496,0.466010364108664,0.013968944549560547,0.8556390977443609,0.888100227280681
30,p03.ply,PassiveAggressiveRegressor,1.50317327141134,0.44386112107167686,0.6197341894541271,0.0108795166015625,0.8481203007518796,0.844250781032664
31,p03.ply,PoissonRegressor,1.1515157002343368,0.8325352786883646,0.340075615629455,0.2052443027496338,0.8796992481203006,0.9137800128018767
32,p03.ply,RANSACRegressor,1.5465164030626908,0.3959555545096576,0.6458747031564857,0.11491012573242188,0.6586466165413534,0.7914015621405517
33,p03.ply,RandomForestRegressor,1.148364377755978,0.83601831932234,0.33652047559979453,1.675124168395996,0.9233082706766916,0.9309106427083226
34,p03.ply,Ridge,1.22192802712968,0.7547111279093011,0.41157856676919546,0.007595062255859375,0.8902255639097743,0.9063742808100616
35,p03.ply,RidgeCV,1.239347874940578,0.7354576119077822,0.42742651750199034,0.011780261993408203,0.8872180451127819,0.9081215782178856
36,p03.ply,SGDRegressor,1.2382460659872612,0.7366754007509217,0.4264415795814157,0.011138677597045898,0.8766917293233082,0.897389615567816
37,p03.ply,SVR,1.144067145669829,0.8407678916280837,0.33161116944527574,0.051021575927734375,0.9203007518796992,0.9386024960275774
38,p03.ply,TransformedTargetRegressor,1.2508499280056018,0.7227448164148613,0.4375761719743588,0.010567426681518555,0.8917293233082706,0.9073637679606583
