,Fold,Testing Groups,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Spearman,Pearson
0,0,statue.ply,AdaBoostRegressor,-35.693015883985666,0.10504839307352043,1461.4374649980184,0.14530587196350098,-0.380763576190674,0.359312340863084
1,0,statue.ply,BaggingRegressor,-34.86005622399114,0.12536448234167952,1444.7543648847975,0.08821392059326172,0.6014343021832241,0.35602346956487174
2,0,statue.ply,BayesianRidge,-38.39371989601073,0.039177563511933355,1514.2655023042212,0.020148038864135742,0.7056440182446128,0.3218334337594236
3,0,statue.ply,DecisionTreeRegressor,-25.075238777947956,0.3640185663915133,1231.9772246911543,0.03350067138671875,0.74751558056053,0.6209091528248609
4,0,statue.ply,DummyRegressor,-40.003667644026066,-8.94547323431194e-05,1544.898261636484,0.00995779037475586,,
5,0,statue.ply,ElasticNet,-36.518637367847404,0.08491128371103884,1477.7877446745288,0.01774120330810547,0.6596167097509357,0.3291331304851857
6,0,statue.ply,ElasticNetCV,-37.16418187907948,0.06916629563220777,1490.4469086724534,0.12454485893249512,0.6735545566891619,0.32530081389471466
7,0,statue.ply,ExtraTreeRegressor,-167.8956122573561,-3.1194051770086855,3135.4343776639816,0.016652345657348633,0.6061494309898129,-0.09470152159261158
8,0,statue.ply,ExtraTreesRegressor,-25.35657809152469,0.357156631914032,1238.6056149026529,0.2603907585144043,0.3123860462026852,0.6135757382341815
9,0,statue.ply,GammaRegressor,-36.541956720973836,0.08434251900063816,1478.2469258123492,0.5067300796508789,0.5114865690353693,0.38186206653565585
10,0,statue.ply,GaussianProcessRegressor,-187.64939371418228,-3.601204724736153,3313.7232815572183,0.01348423957824707,0.20104533868452967,0.6532608410561863
11,0,statue.ply,GradientBoostingRegressor,-52.36463571763436,-0.3015764809179111,1762.4439194403199,0.3326709270477295,0.17871616380045696,0.142002809795188
12,0,statue.ply,HistGradientBoostingRegressor,-32.35361967490576,0.18649708109985952,1393.3493466530722,0.13303184509277344,0.2126331998017758,0.4359220680585769
13,0,statue.ply,HuberRegressor,-42.43572365652451,-0.05940789406157343,1590.0546926209909,0.04773569107055664,0.8380535641577613,0.2471349858727456
14,0,statue.ply,KNeighborsRegressor,-36.142517800258915,0.09408493170100207,1470.3617695921178,0.05258464813232422,0.6599919472087882,0.4257402498235379
15,0,statue.ply,KernelRidge,-34.551892568545654,0.13288066905986207,1438.5332170762356,0.023131132125854492,0.5960860585906489,0.3663340517423879
16,0,statue.ply,LGBMRegressor,-29.553083039996874,0.25480285268300307,1333.5707226247325,0.20463895797729492,0.24480369535105365,0.5065395799948988
17,0,statue.ply,Lars,-281893137611.69965,-6875442379.797552,128094588.81427883,0.015314340591430664,0.024634334123376466,-0.0168481652903802
18,0,statue.ply,LarsCV,-38.47560671726056,0.037180323969254636,1515.838519749316,0.04298520088195801,0.6455978288188826,0.3375585357803318
19,0,statue.ply,Lasso,-36.411735331046366,0.08751865046228369,1475.6809089282983,0.012820243835449219,0.547627730282165,0.37000385817152254
20,0,statue.ply,LassoCV,-36.4032307792528,0.08772607855480974,1475.5131712128823,0.4381687641143799,0.5738827442820795,0.3313342915084913
21,0,statue.ply,LassoLars,-36.41358769311756,0.08747347089957169,1475.7174410683572,0.03644824028015137,0.5550828577142396,0.36691126395986434
22,0,statue.ply,LassoLarsCV,-36.4108222103133,0.08754092169967564,1475.662900099737,0.08925056457519531,0.5684534666956773,0.33176693801124707
23,0,statue.ply,LassoLarsIC,-36.41053586820715,0.08754790565348425,1475.6572527334622,0.032328128814697266,0.5962481265783027,0.3258124359499231
24,0,statue.ply,LinearRegression,-36.33606376697585,0.08936429836644277,1474.1877463547198,0.01514434814453125,0.6258255343251199,0.35707726928169686
25,0,statue.ply,LinearSVR,-42.43802645911119,-0.059464059978321826,1590.096841493178,0.020774364471435547,0.8504517652132764,0.25471371938491283
26,0,statue.ply,MLPRegressor,-39.17233795114672,0.020186879240323807,1529.1570310013528,0.23305296897888184,0.641384061139884,0.363171607949131
27,0,statue.ply,NuSVR,-42.44082074299791,-0.059532213243851384,1590.1479845916526,0.013948202133178711,0.8258174310899,0.20232989719036337
28,0,statue.ply,OrthogonalMatchingPursuit,-36.579255884806976,0.0834327832973909,1478.9810868775758,0.007612943649291992,0.6083221916585103,0.3083864233702731
29,0,statue.ply,OrthogonalMatchingPursuitCV,-36.579255884806976,0.0834327832973909,1478.9810868775758,0.011522054672241211,0.6083221916585103,0.3083864233702731
30,0,statue.ply,PassiveAggressiveRegressor,-42.436425115825465,-0.0594250028250114,1590.0675317549596,0.007537364959716797,0.017584376660436492,-0.012792613631111664
31,0,statue.ply,PoissonRegressor,-32.31152864913817,0.18752369148443493,1392.4698916156528,3.1890616416931152,0.6917061713063865,0.44703086571107314
32,0,statue.ply,RANSACRegressor,-42.461955433766306,-0.0600476935064953,1590.5347544399428,0.10367608070373535,0.5056521214798326,0.15368186044871246
33,0,statue.ply,RandomForestRegressor,-29.845754962212325,0.2476645131167725,1339.9427223991831,0.7002401351928711,0.41610955830111235,0.5089662683796902
34,0,statue.ply,Ridge,-36.28720868254816,0.0905558857915083,1473.2229266143486,0.006475925445556641,0.5960860585906489,0.3663340517423743
35,0,statue.ply,RidgeCV,-36.22131600470763,0.09216302427542367,1471.9206364753636,0.025394439697265625,0.5852275034178449,0.3486037086983811
36,0,statue.ply,SGDRegressor,-36.44200796339649,0.08678029357569528,1476.277830079731,0.016623258590698242,0.5763137640968863,0.34242488569499785
