,Fold,Testing Groups,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Spearman,Pearson
0,0,statue.ply,AdaBoostRegressor,-48.77383559486034,-0.21399599011854487,1702.1157354938914,0.07055115699768066,0.3327908702686468,0.2854804034965299
1,0,statue.ply,BaggingRegressor,-29.214616752619303,0.26305812798489503,1326.1635197883072,0.08402395248413086,0.5829585515906918,0.5323997779940084
2,0,statue.ply,BayesianRidge,-38.3472659130061,0.040310587487656147,1513.3724105366987,0.01733112335205078,0.7111543298248417,0.32140949068165814
3,0,statue.ply,DecisionTreeRegressor,-26.121320584857997,0.33850437597907324,1256.4463478389719,0.01656031608581543,0.7408406740538394,0.6208749538616384
4,0,statue.ply,DummyRegressor,-40.003667644026066,-8.94547323431194e-05,1544.898261636484,0.005864381790161133,,
5,0,statue.ply,ElasticNet,-36.53846488043613,0.08442768584302118,1478.178177097262,0.006949186325073242,0.648434018602824,0.32776956932134615
6,0,statue.ply,ElasticNetCV,-37.029819526578954,0.07244342618100108,1487.8209317115045,0.07551765441894531,0.6620477295657426,0.32490445092635484
7,0,statue.ply,ExtraTreeRegressor,-125.98535270867086,-2.0972037246017283,2718.725414285206,0.008828878402709961,0.46415999017098275,0.5037296680949491
8,0,statue.ply,ExtraTreesRegressor,-23.50692666176812,0.40227008142028975,1194.353695667233,0.24860095977783203,0.3010412870669196,0.6546921293755186
9,0,statue.ply,GammaRegressor,-36.563952272629955,0.08380604213097675,1478.6799093099953,0.7269167900085449,0.5137555208625223,0.38044823172383435
10,0,statue.ply,GaussianProcessRegressor,-190.40729284403238,-3.6684705571715215,3337.857352328457,0.02576732635498047,0.21425387967831375,0.6528076706818693
11,0,statue.ply,GradientBoostingRegressor,-44.15889110917788,-0.10143636851653359,1621.2879942367454,0.33126044273376465,0.22078132888546245,0.23712906564890532
12,0,statue.ply,HistGradientBoostingRegressor,-34.99693343755211,0.12202601371824118,1447.5090399464566,0.14385986328125,0.23443134414121095,0.37893975086675924
13,0,statue.ply,HuberRegressor,-42.44034334471692,-0.059520569383339605,1590.139247003515,0.033336639404296875,0.8454276575960088,0.2392053397901648
14,0,statue.ply,KNeighborsRegressor,-32.64131834248474,0.17948004042720156,1399.3457576391793,0.01770162582397461,0.6664775577919082,0.5078298608722231
15,0,statue.ply,KernelRidge,-34.659135163113454,0.130264996021623,1440.7012573385118,0.016223669052124023,0.5725051663870221,0.36231824173567845
16,0,statue.ply,LGBMRegressor,-26.324949771513637,0.33353781045088693,1261.1542806107161,0.1803879737854004,0.4260767395418206,0.5795259103179545
17,0,statue.ply,Lars,-11050451871215.498,-269523216370.1341,802007723.8834118,0.014593124389648438,0.1871885257401304,0.020648394738716113
18,0,statue.ply,LarsCV,-39.813165322745434,0.004556943347672315,1541.305298442486,0.037108659744262695,0.5393622629118217,0.27950476020032655
19,0,statue.ply,Lasso,-36.97443647995905,0.07379423219612058,1486.737175874198,0.011675119400024414,0.5246140760353265,0.3614232919296343
20,0,statue.ply,LassoCV,-36.672905816189584,0.08114863862952237,1480.822798343487,0.3758509159088135,0.5651310729487745,0.33296661317601933
