,REF,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Spearman,Pearson
0,amphoriskos_vox10.ply,AdaBoostRegressor,1.6973554076254667,0.6245009343555179,0.779677535843299,0.1304023265838623,0.9254506568897036,0.8681244078080982
1,amphoriskos_vox10.ply,BaggingRegressor,1.7116427856496017,0.6168077308040607,0.7876240349115626,0.05484199523925781,0.9302184515466478,0.8930730203509748
2,amphoriskos_vox10.ply,BayesianRidge,1.8583136103766265,0.5378311328741243,0.8649896970577448,0.0742335319519043,0.83921218150039,0.8335046962907425
3,amphoriskos_vox10.ply,DecisionTreeRegressor,1.6628568705018827,0.6430770697297554,0.7601474028595204,0.020855426788330078,0.9345565744631452,0.8851226713302818
4,amphoriskos_vox10.ply,DummyRegressor,3.305960324950116,-0.24167094420390844,1.41779633827166,0.007448673248291016,,
5,amphoriskos_vox10.ply,ElasticNet,2.1347485464629887,0.3889815519045444,0.9945754902594893,0.02495574951171875,0.8587571522485796,0.8732080201514966
6,amphoriskos_vox10.ply,ElasticNetCV,1.5575067397895852,0.6998040631902234,0.6971287537064327,0.1499936580657959,0.8758590016532457,0.8885916644265606
7,amphoriskos_vox10.ply,ExtraTreeRegressor,2.3322196272818267,0.28265096992517025,1.0776453240488932,0.007292985916137695,0.913402971546498,0.871381496369991
8,amphoriskos_vox10.ply,ExtraTreesRegressor,1.6695927889859532,0.6394500366998714,0.7639999303131633,0.16376256942749023,0.9225836973481362,0.8880589806575176
9,amphoriskos_vox10.ply,GammaRegressor,1.6568968323460713,0.6462863210444231,0.756722276171135,0.03743267059326172,0.9082303594549346,0.8886191060547091
10,amphoriskos_vox10.ply,GaussianProcessRegressor,5.263743308989611,-1.2958617817636364,1.9278953703164405,0.05590558052062988,0.8834937558517572,0.8168428126550413
11,amphoriskos_vox10.ply,GradientBoostingRegressor,1.6612104491867115,0.6439636042840785,0.7592027788762207,0.19916081428527832,0.913116602141982,0.8863014397866821
12,amphoriskos_vox10.ply,HistGradientBoostingRegressor,1.590870026145581,0.6818392166908409,0.7176850749932134,0.16952896118164062,0.9040928949516225,0.8918839862170221
13,amphoriskos_vox10.ply,HuberRegressor,1.986890501839825,0.4685974220862481,0.9275181559239427,0.022395610809326172,0.7680562723702625,0.7943649680594363
14,amphoriskos_vox10.ply,KNeighborsRegressor,1.4189174695472775,0.7744290548591583,0.6042994107044767,0.10962653160095215,0.8631993865905938,0.8867303527808618
15,amphoriskos_vox10.ply,KernelRidge,10.698465052983432,-4.222250413144924,2.9076319848151138,0.05307459831237793,0.8468469356989017,0.8655671847284673
16,amphoriskos_vox10.ply,LGBMRegressor,1.6031563823861696,0.6752234864074471,0.725108337567766,0.17258644104003906,0.923170928746503,0.8988619010707392
17,amphoriskos_vox10.ply,Lars,65015084.9261873,-35008121.11410085,7528.266743426491,0.01684093475341797,0.8572302014088774,0.8584510813506073
18,amphoriskos_vox10.ply,LarsCV,2.361070083348001,0.26711610896646076,1.0892515310874902,0.04117918014526367,0.8563140309050561,0.8687173184603307
19,amphoriskos_vox10.ply,Lasso,2.931290830504393,-0.03992583181005771,1.2975131685744012,0.006480216979980469,0.8563140309050561,0.8687173184603307
20,amphoriskos_vox10.ply,LassoCV,1.5642986490522293,0.6961468812795688,0.7013623363441187,0.23558497428894043,0.8715835393020791,0.8815901001979836
21,amphoriskos_vox10.ply,LassoLars,2.9312908305043917,-0.039925831810057044,1.2975131685744008,0.009326457977294922,0.8563140309050561,0.868717318460331
22,amphoriskos_vox10.ply,LassoLarsCV,1.5664018350610647,0.6950143965055806,0.7026681374134898,0.08003997802734375,0.8715835393020791,0.8814754549286685
23,amphoriskos_vox10.ply,LassoLarsIC,1.9680092644913008,0.478764242196992,0.9186026456311587,0.02248096466064453,0.8187510402483793,0.8139781863628673
24,amphoriskos_vox10.ply,LinearRegression,1.8807955357819721,0.5257254807327842,0.8762448679313551,0.008586883544921875,0.7851581217749283,0.7880286592353918
25,amphoriskos_vox10.ply,LinearSVR,1.522259881706903,0.7187831406193599,0.6747319384658591,0.03435182571411133,0.867613467118853,0.8689857460851307
26,amphoriskos_vox10.ply,MLPRegressor,2.0331855619145838,0.44366931281522404,0.9490237896815152,0.15034198760986328,0.9234998678519577,0.8931292788296343
27,amphoriskos_vox10.ply,NuSVR,1.8611074084085573,0.5363267800877,0.866396317652771,0.010377883911132812,0.8786075131647098,0.8616582038845595
28,amphoriskos_vox10.ply,OrthogonalMatchingPursuit,1.5320085328849993,0.7135338669080773,0.6810001913943478,0.0064792633056640625,0.8514277882180087,0.8666837953517122
29,amphoriskos_vox10.ply,OrthogonalMatchingPursuitCV,1.7062743301173469,0.619698437629121,0.7846475913431277,0.009432077407836914,0.8666972966150317,0.8635261623930155
30,amphoriskos_vox10.ply,PassiveAggressiveRegressor,1.7897869895398473,0.5747300825554669,0.829741710978192,0.008218526840209961,0.8251642337751289,0.8418786774291661
31,amphoriskos_vox10.ply,PoissonRegressor,1.640252793340669,0.655248495893486,0.7470740924868353,0.009681463241577148,0.8874638280349831,0.8922548841470265
32,amphoriskos_vox10.ply,RANSACRegressor,2.9574333318024753,-0.0540025632782557,1.3062654033630499,0.13045334815979004,0.7515652033014775,0.7633973066690236
33,amphoriskos_vox10.ply,RandomForestRegressor,1.731467134618396,0.6061330813593252,0.7985191647552871,0.33668971061706543,0.9244160383557791,0.8803017707785239
34,amphoriskos_vox10.ply,Ridge,1.6201019900829077,0.6660989284168959,0.7352236989979957,0.006457328796386719,0.8468469356989017,0.8655671847284616
