,Fold,Testing Groups,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Spearman,Pearson
0,0,ucl_original.ply,AdaBoostRegressor,1.0888322731060966,-0.6878131890158352,1.4984881269688684,0.07726049423217773,0.8660254037844387,0.8950488519540403
1,0,ucl_original.ply,BaggingRegressor,1.049028177780591,0.06846462216877147,1.1132451062846251,0.023958206176757812,1.0,0.9251988014712236
2,0,ucl_original.ply,BayesianRidge,1.106967335459603,-1.032379373732458,1.644347140604338,0.009716510772705078,1.0,0.9921442549917255
3,0,ucl_original.ply,DecisionTreeRegressor,1.0891856821850177,-0.6945279615153339,1.5014659503298768,0.008444786071777344,1.0,0.9407284800265197
4,0,ucl_original.ply,DummyRegressor,1.1342095768585625,-1.5499819603126883,1.8418729597884869,0.0076847076416015625,,
5,0,ucl_original.ply,ElasticNet,1.1321401332546923,-1.510662531839154,1.8276174195817927,0.009175539016723633,1.0,0.9724718268195359
6,0,ucl_original.ply,ElasticNetCV,1.1201579090398786,-1.2830002717576936,1.742786149114812,0.09373116493225098,1.0,0.9812529774513816
7,0,ucl_original.ply,ExtraTreeRegressor,1.161813885284468,-2.07446382040489,2.0224407696312556,0.006461143493652344,1.0,0.9230672176080468
8,0,ucl_original.ply,ExtraTreesRegressor,1.093917359242966,-0.784429825616356,1.540780789080653,0.06830954551696777,1.0,0.9894789816505916
9,0,ucl_original.ply,GammaRegressor,1.123517860771114,-1.346839354651169,1.766984741707725,0.007903099060058594,1.0,0.9951006168284695
10,0,ucl_original.ply,GaussianProcessRegressor,1.3320587808920268,-5.309116836948508,2.897179497351915,0.00669407844543457,1.0,0.8953128026752647
11,0,ucl_original.ply,GradientBoostingRegressor,1.0593952620765472,-0.1285099794543978,1.225303911960674,0.049518585205078125,1.0,0.997366322547717
12,0,ucl_original.ply,HistGradientBoostingRegressor,1.1342095768585625,-1.5499819603126883,1.8418729597884869,0.07310771942138672,,
13,0,ucl_original.ply,HuberRegressor,1.0695627444339235,-0.3216921442445473,1.3260389242789767,0.02507758140563965,1.0,0.9916234594646425
14,0,ucl_original.ply,KNeighborsRegressor,1.0974178983236806,-0.8509400681499304,1.5692325087974273,0.0069005489349365234,1.0,0.9815507703068932
15,0,ucl_original.ply,KernelRidge,1.3082332160177712,-4.856431104337651,2.7913072101097742,0.006460905075073242,1.0,0.9904120556267109
16,0,ucl_original.ply,LGBMRegressor,1.1342095754860666,-1.5499819342352676,1.841872950370519,0.12129378318786621,,
17,0,ucl_original.ply,Lars,9.748359797089992e+39,-1.8521883614470986e+41,4.964021954090473e+20,0.012142658233642578,1.0,0.9816038247212121
18,0,ucl_original.ply,LarsCV,1.1150199506144824,-1.1853790616751674,1.70511826676411,0.03944659233093262,1.0,0.9802003757529962
19,0,ucl_original.ply,Lasso,1.1342095768585625,-1.5499819603126883,1.8418729597884869,0.006865501403808594,,
20,0,ucl_original.ply,LassoCV,1.1177964918310175,-1.2381333447893321,1.7255760203212513,0.09186935424804688,1.0,0.9801723672346344
21,0,ucl_original.ply,LassoLars,1.1342095768585625,-1.5499819603126883,1.8418729597884869,0.006178855895996094,,
22,0,ucl_original.ply,LassoLarsCV,1.117563813022688,-1.2337124474310714,1.7238709464638868,0.039877891540527344,1.0,0.9805140712260182
23,0,ucl_original.ply,LinearRegression,1.0156848509953624,0.7019878310881154,0.6296629173775213,0.006167173385620117,1.0,0.9999141838939756
24,0,ucl_original.ply,LinearSVR,1.0551071390858677,-0.047035642631487073,1.1802441353198627,0.007131338119506836,1.0,0.9941198280912189
25,0,ucl_original.ply,MLPRegressor,1.447064196907312,-7.494219741238927,3.361652858899067,0.05943179130554199,-0.5,-0.784428985184891
26,0,ucl_original.ply,NuSVR,1.0991801310516829,-0.8844224899819748,1.5833621445114883,0.0061147212982177734,1.0,0.9680162962452001
27,0,ucl_original.ply,OrthogonalMatchingPursuit,1.1908907069548815,-2.6269234321427506,2.196647202926022,0.0067920684814453125,0.5,0.7652226930790258
28,0,ucl_original.ply,OrthogonalMatchingPursuitCV,1.134133323371997,-1.5485331440679424,1.841349639494898,0.012296676635742188,1.0,0.9262693703881572
29,0,ucl_original.ply,PassiveAggressiveRegressor,1.1056021995899201,-1.0064417922084843,1.6338207246678467,0.006646394729614258,1.0,0.9753614036434519
30,0,ucl_original.ply,PoissonRegressor,1.1492776029326734,-1.8362744557207944,1.9425188637155997,0.010968923568725586,1.0,0.9758107911916655
31,0,ucl_original.ply,RandomForestRegressor,1.0744856478990623,-0.41522731008218305,1.3721583047641903,0.08998727798461914,1.0,0.9872284733022929
32,0,ucl_original.ply,Ridge,1.10045129684367,-0.9085746400297294,1.593476608267455,0.006323575973510742,1.0,0.9904120556267115
33,0,ucl_original.ply,RidgeCV,1.1004512968436695,-0.9085746400297214,1.5934766082674516,0.006776571273803711,1.0,0.9904120556267116
34,0,ucl_original.ply,SGDRegressor,1.0927102262122266,-0.7614942980323032,1.5308468290793094,0.009996414184570312,1.0,0.9929511900032919
35,0,ucl_original.ply,SVR,1.099615486267173,-0.8926942390762884,1.5868334555545185,0.00839853286743164,1.0,0.9698612837940934
36,0,ucl_original.ply,TransformedTargetRegressor,1.0156848509953624,0.7019878310881154,0.6296629173775213,0.0068666934967041016,1.0,0.9999141838939756
37,0,ucl_original.ply,TweedieRegressor,1.1048094452050117,-0.9913794588952232,1.6276766362254527,0.007545948028564453,1.0,0.9978650771105384
38,0,ucl_original.ply,XGBRegressor,1.1152047109198806,-1.1888895074777333,1.7064872108364528,0.023703813552856445,1.0,0.9410645004767155
